Item;transaction
BABY WALKER 89;2
OILPOTS STAINLESS 1,3L;3
PANCI GORENG SARANGAN;4
PANCI KUAH AXLO 22CM;1
CUTER TRANSPARAN;1
CUTER TRANSPARAN;1
CUTER TRANSPARAN;1
SPREI MY LOVE 180 30CM;2
KARTU MEMBER;1
TREMOS SOLARIS LION STAR;1
PANCI SUSU TUTUP 16;1
CUTER TRANSPARAN;1
SPREI MY LOVE 180 30CM;1
SPREI LADY ROSE 180x20;1
TEPUNG IRUT;1
RAK BUKU GSF;1
CUTER TRANSPARAN;1
TREMOS INDOGLASS 750ML;1
KESED 5D DIATOMITE;1
BLENDER KAPSUL;2
TEKO VACUM;3
GAGANG SUPERMOP;1
SPRINGBED BIGDREAM 180;2
KARTU MEMBER;1
KIPAS WELHOME BERDIRI 1681;1
WAJAN KUPING ENAMEL;2
MAWAR LAUNDRY REFILL;3
MASKER DUCKBIL ANAK;1
SPREI MY LOVE 180 30CM;1
TEKO SET JAGO;2
TIMBANGAN DAPUR KENMASTER;3
TEFLON GSF 22CM;1
KOSONG;1
BUSA ROYAL 120x20;1
MAWAR LAUNDRY REFILL;2
SPRINGBED VALENCIA;1
BONEKA BOBA LED XL;1
BONEKA BOBA LED XL;1
SIRUP ABC DUS;2
BOTOL KACA KAKTUS;3
RACUN TIKUS;1
TABLET LCD;2
RACUN TIKUS;3
KANEBO BIRU;4
SAMBUNGAN KRAN;1
DIPAN SULTAN;1
BUSA MEDICARE 120;2
SPREI LADY ROSE 120X20;1
KARPET SPONS MURAH;1
PISAU SULTAN;2
RAK KAMAR MANDI KOTAK;1
KURSI JATI FINISHING MELING;2
KIPAS WELHOME BERDIRI 1681;1
KOMPOR PORTABLE MYVO;1
SIRUP ABC DUS;2
CUTER TRANSPARAN;1
TATAKAN KOMPOR KAKI 6;2
PANGGANGAN PORTABEL;3
LOYANG ROTI 3PCS;1
SPREI LADY ROSE 120X20;2
BOTOL KACA KAKTUS;1
PISAU SULTAN;1
SPREI LADY ROSE 180x20;1
ONGKIR;1
KOMPOR MIYAKO KG-11C;1
GELAS JUS PORTO;2
MANTEL PONCO AURORA;3
KOSONG;1
NAMPAN 4 SEDENG;2
TREMOS SOLARIS LION STAR;3
CANGKIR SET BROWN;4
CANGKIR LEPEK ROSE;5
SPREI MY LOVE 180 30CM;1
SIRUP ABC DUS;2
TABLET LCD;1
SARUNG SAMARINDA;1
TABLET LCD;2
SIRUP ABC DUS;1
CUTER TRANSPARAN;2
SIRUP ABC DUS;3
JAM DINDING ANGKA;1
LEMARI PIRING ALUMINIUM 6P WARNA;2
MASKER DUCKBIL ANAK;3
BONEKA BOBA LED XL;1
JAM DINDING ANGKA;2
SIRUP ABC DUS;3
SPREI BONITA 160X20;4
BOTOL KACA KAKTUS;1
HANDUK MICRO FIBER;1
CUTER TRANSPARAN;1
SPRITE/COCA COLA/fFANTA 1 KRAT;2
DIPAN SULTAN;1
NAMPAN 4 SEDENG;2
SPRITE/COCA COLA/fFANTA 1 KRAT;1
JAM DINDING ANGKA;2
CUTER TRANSPARAN;3
TOPRON;1
MEJA BELAJAR IMPOR KARAKTER;2
KARTU MEMBER;1
CUTER TRANSPARAN;2
KESED 5D DIATOMITE;1
POMPA GALON ELEKTRIK GSF;1
TIRAI MAGNET ANTI NYAMUK;2
BOX 156 SL;3
DOUBLE PAN HAPPY CALL;4
ONGKIR;1
BATU BATRAI DYNAMAX;1
RACUN TIKUS;1
KERANJANG PAJERO WARNA;1
TAPLAK MEJA EMAS;2
RACUN TIKUS;1
SIRUP ABC DUS;2
TABLET LCD;1
MEJA BELAJAR JUMBO+ KURSI APANEL;1
SIRUP ABC DUS;1
PISAU SULTAN;1
JAM DINDING ANGKA;1
PIRING ROTAN PLASTIK;2
TALENAN KAYU KCL;3
JEMURAN ALUMINIUM STANDART WARNA;4
PAYUNG 16 JARI;1
CETAKAN PUKIS SUGGO;2
PISAU SULTAN;3
TREMOS INDOGLASS 1000ML;4
PAYUNG PELANGI JUMBO;5
RACUN TIKUS;1
PANCI EAGLE 20 SARANGAN;1
Tanggal;2
RAK MINI SSN 5;3
SAPU TEPES;1
TALENAN KAYU BSR;1
LEMARI PLASTICO 5SSN;1
RAK CHIKI/SNACK JUMBO;1
LAMBAR KACA;2
SELIMUT KARAKTER ANAK;3
HANDUK KARAKTER ANAK;1
PISAU SET GSF;1
TEKO JINNIE AYAM JAGO PURIH DX;1
PRESTO HCML 9 L;1
ONGKIR;1
FRYPAN SET PANCI;1
MUKENA TERUSAN FATIMAH;1
DIPAN 161 MINIMALIS;2
TOPLES 17L;1
RAK SEPATU PORTABLE GENEVA 6SN;2
BOX CONTAINER;3
STIKER MOMO;4
LEMARI PLASTICO 5SSN;1
STIKER MOMO;1
RAK SET GANTUNG 3IN2;2
SPRITE/COCA COLA/fFANTA 2 KRAT;1
NAMPAN 5 SEDENG;1
BANTAL/GULING KARAKTER;2
PEL PELAN NAGOYA;3
EMBER 24 REDHOUSE;4
BOTOL ENJOYLIFE;1
TREMOS ELEPHANT;1
RAK SEPATU PORTABLE GENEVA 6SN;2
POMPA GALON ELEKTRIK GSF;3
GELAS CANTEL JEMPOL;4
GELAS CANTEL POLOS JUMBO;5
SPRINGBED BIGDREAM 181;6
TEPUNG IRUT;1
CUTER TRANSPARAN;1
KARPET SPONS MURAH;2
RACUN TIKUS;3
SELIMUT KARAKTER ANAK;1
KIPAS WELHOME BERDIRI 1682;2
KARPET METERAN;1
LEMARI GMCC TIREX 4SSN;1
CUTER TRANSPARAN;1
KARTU MEMBER;1
TEMPAT TISU KOTAK PANJANG;2
SPREI WATERPROOF 181;1
TIMBANGAN  DIGITAL GSF;2
SETRIKA COSMOS CIS-429;1
LEMARI GMCC TIREX 4SSN;2
MAINAN TARIK;1
BATU BATRAI DYNAMAX;2
SPRITE/COCA COLA/fFANTA 2 KRAT;1
CLUNNY SET;1
PISAU SET GSF;1
GAGANG SUPERMOP;2
PIRING ROTAN PLASTIK;1
TIKAR ISTANA JUMBO;1
KARTU MEMBER;1
RACUN TIKUS;2
RODA KAKI KULKAS;1
SPREI MY LOVE 180 31CM;1
SPRITE/COCA COLA/fFANTA 2 KRAT;2
RANTANG JAGO STENLIS;3
SPRITE/COCA COLA/fFANTA 2 KRAT;1
SPREI MY LOVE 180 31CM;1
MAINAN TARIK;2
KOMPOR 3 TUNGKU HCM STENLIS;1
BATU BATRAI DYNAMAX;1
BOX 157 SL;2
MAWAR LAUNDRY REFILL;3
AGAR-AGAR INACO 2 KG;1
AGAR-AGAR INACO 2 KG;1
SPRITE/COCA COLA/fFANTA 2 KRAT;1
AGAR-AGAR INACO 2 KG;2
KARTU MEMBER;1
RACUN TIKUS;1
SPRITE/COCA COLA/fFANTA 2 KRAT;1
CUTER TRANSPARAN;2
TALENAN KAYU KCL;3
BOX CB 56;4
SPRITE/COCA COLA/fFANTA 2 KRAT;1
JAM DINDING ANGKA;1
BLENDER OMEGA NATIONAL;1
SPRITE/COCA COLA/fFANTA 2 KRAT;2
MASKER DUCKBIL ANAK;1
RAK PIRING EKONOMI BESAR;2
MASKER DUCKBIL ANAK;3
CUTER TRANSPARAN;1
MINYAK KITA 2L;1
MAWAR LAUNDRY REFILL;2
SPRITE/COCA COLA/fFANTA 2 KRAT;3
KIPAS TANGAN GRADASI;1
TREMOS INDOGLASS 501ML;1
KRUPUK KENTANG;1
CUTER TRANSPARAN;2
JAM DINDING ANGKA;3
AGAR-AGAR INACO 2 KG;1
LAMPU LEED 6 WATT;1
RAK COSMIC 4SSN ABU;1
TEETH WHITENING;2
CUTER TRANSPARAN;3
SPRITE/COCA COLA/fFANTA 2 KRAT;4
SPRITE/COCA COLA/fFANTA 2 KRAT;1
RAK PIRING EKONOMI BESAR;2
AGAR-AGAR INACO 2 KG;1
SPRITE/COCA COLA/fFANTA 2 KRAT;1
SPRITE/COCA COLA/fFANTA 2 KRAT;2
TEKO JINNIE AYAM JAGO PURIH DX;1
BOLA MANDI 26;2
AGAR-AGAR INACO 2 KG;1
KOK;1
SPRITE/COCA COLA/fFANTA 2 KRAT;2
TEPUNG IRUT;3
BANTAL CINTA;1
KOMPOR MIYAKO KG-12C;1
LEMARI FAWSLINE 4 SUSUN;2
BOTOL ENJOYLIFE;1
RAK SEPATU PORTABLE GENEVA 6SN;1
BOTOL ENJOYLIFE;2
MAWAR LAUNDRY REFILL;1
PRESTO HCML 9 L;2
SPRITE/COCA COLA/fFANTA 2 KRAT;3
SPREI MY LOVE 180 31CM;1
KARTU MEMBER;1
SARUNG BUSA 160x21;2
TENDA 3 PINTU;1
SPRITE/COCA COLA/fFANTA 2 KRAT;2
PAYUNG 17 JARI;1
BOTOL MINUM 751ML SL;2
TEETH WHITENING;3
BOTOL MINUM 751ML SL;4
SPRITE/COCA COLA/fFANTA 2 KRAT;1
BUSA ROYAL 120x31;2
BUSA ROYAL 140x31;3
CUTER TRANSPARAN;4
SPRITE/COCA COLA/fFANTA 2 KRAT;1
BATANG KORDEN 2M;1
BATANG KORDEN 1.6M;2
SAPU DUK BINTANG;1
MEJA BELAJAR IMPOR KARAKTER;2
JAM DINDING ANGKA;1
KERANJANG PAJERO WARNA;1
KERANJANG PAJERO WARNA;1
AGAR-AGAR INACO 2 KG;2
TEPUNG IRUT;3
GILINGAN MIE GSF;4
SPRITE/COCA COLA/fFANTA 2 KRAT;1
KERANJANG PAJERO WARNA;1
GAGANG SUPERMOP;1
SPRITE/COCA COLA/fFANTA 2 KRAT;1
MANTEL ELMONDO ANAK;2
TIKAR ISTANA JUMBO;3
PISAU STENLIS BUAH;1
SPRITE/COCA COLA/fFANTA 2 KRAT;1
GAGANG SUPERMOP;2
KARTU MEMBER;1
AGAR-AGAR INACO 2 KG;1
JEMURAN POPOK 31 LION STAR;1
CUTER TRANSPARAN;1
BATRAI ABC SEDENG;1
