Item,Transaction,Kuantitas
CUTER TRANSPARAN,1,1
PIRING DINASTY KUPU 8,1,1
TEMPAT TISU KOTAK PANJANG,1,1
MASKER DUCKBIL ANAK,1,1
CUTER TRANSPARAN,1,1
TEFLON MAXIM 26,1,1
SPRITE/COCA COLA/fFANTA 1 KRAT,1,2
KIPAS WELHOME BERDIRI 1681,1,1
CUTER TRANSPARAN,1,1
TREMOS INDOGLASS 750ML,2,1
JAM DINDING ANGKA,3,1
MASKER DUCKBIL ANAK,1,3
BOX EZ 30,2,2
SAPU DUK BINTANG,3,1
SPREI BONITA 180x200,1,1
MASKER DUCKBIL ANAK,2,1
MASKER DUCKBIL ANAK,1,3
CUTER TRANSPARAN,1,1
GELAS CANTEL KOPI,1,2
JAM DINDING ANGKA,2,1
ROYAL FOAM KAIN ZAKAT,3,1
JEMURAN JUMBO STENLIS,1,2
MAGICOM MIYAKO 528,1,1
SPRITE/COCA COLA/fFANTA 1 KRAT,1,1
SPREI MY LOVE 180 30CM,1,1
JAM DINDING ANGKA,2,1
LAMPU LEED 5 WATT,1,2
TEETH WHITENING,3,1
CUTER TRANSPARAN,1,1
CUTER TRANSPARAN,1,1
PAYUNG PELANGI JUMBO,1,1
RAK AMAZING BY SHENAR,1,1
MANTEL PONCO PANJANG,2,1
KIPAS WELHOME BERDIRI 1681,3,1
RAK SET GANTUNG 3IN1,4,1
CUTER TRANSPARAN,1,1
CUTER TRANSPARAN,1,1
KIPAS WELHOME BERDIRI 1681,2,1
LEMARI GMCC TIREX 4SSN,1,1
JEMURAN ALUMINIUM STANDART WARNA,1,4
SENDOK POLKADOT,1,1
BATU BATRAI DYNAMAX,2,2
JEMURAN ALUMINIUM STANDART WARNA,3,1
TIMBANGAN BADAN KECIL,4,1
RAK KAMAR MANDI SUDUT,1,1
TREMOS INDOGLASS 500ML,2,1
GELAS RT KEMBANG,1,6
MAINAN TARIK,2,1
LAMBAR KACA,3,1
ROVEGA LAUNDRY BASKET 3SSN,1,1
TEMPAT TISU KOTAK PANJANG,1,1
JEMURAN ALUMINIUM STANDART WARNA,1,2
BOX CONTAINER,1,1
SPREI MY LOVE 180 30CM,1,2
LAMPU EMERGENCY CERDAS,1,1
TIMBANGAN BADAN KECIL,2,1
BATU BATRAI DYNAMAX,3,2
KERANJANG PAJERO WARNA,1,1
PAYUNG PELANGI JUMBO,1,2
KARPET SPONS MURAH,2,2
KASUR LANTAI PALEMBANG,1,1
RAK DAPUR BY SHENAR,1,1
TEKO SET JAGO,2,1
CUTER TRANSPARAN,1,1
KIPAS WELHOME BERDIRI 1681,1,1
TEETH WHITENING,2,1
CUTER TRANSPARAN,1,3
SPRINGBED VALENCIA,1,1
SELIMUT KARAKTER ANAK,2,2
TOPLES 16L,1,4
BANTAL SOVA,2,1
RAK DAPUR BY SHENAR,3,1
